[ 2015-12-21T13:27:11+08:00 ] /iBE/ | INFO: Tag[ app_begin ] --START--
[ 2015-12-21T13:27:11+08:00 ] /iBE/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000929s ]
[ 2015-12-21T13:27:11+08:00 ] /iBE/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001002s ]
[ 2015-12-21T13:27:11+08:00 ] /iBE/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.015857s ]
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | SQL: SELECT `id`,`subject`,`message`,`createtime` FROM `think_article` ORDER BY id desc  [ RunTime:0.000327s ]
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 15 行.
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 15 行.
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 15 行.
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | INFO: Tag[ view_template ] --START--
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000980s ]
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001026s ]
[ 2015-12-21T13:27:12+08:00 ] /iBE/ | INFO: Tag[ view_parse ] --START--
