[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.034957s ]
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.035131s ]
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001158s ]
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001268s ]
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.009134s ]
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.009291s ]
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-05-27T20:02:42+08:00 ] /iBE/admin.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
